Reactor,Day,pH,DO,CO2,Cell_Density,Cell_Viability,Product_Titer
1,0,7.43,46.4,39.2,21.9,91.2,0.2
1,1,6.79,33.3,87.1,15.9,86.5,0.2
1,2,7.26,39.2,54.5,11.2,87.7,0.3
1,3,6.82,31.6,62.2,16.5,87.3,0.3
1,4,6.7,44.4,79.4,26.6,84.5,0.3
1,5,7.48,30.4,93.5,6.1,81.6,0.4
1,6,6.87,49.9,80.9,6.5,97.2,0.4
1,7,7.02,42.5,105,27.4,84,0.4
1,8,7.19,45.3,48,31,98.3,0.5
1,9,7.29,45,37.9,32.7,84.4,0.5
1,10,6.95,43.1,105.7,25.3,94.6,0.6
1,11,6.78,48.8,79.9,19,89.2,0.6
1,12,6.79,32,82.6,11.8,90.2,0.6
1,13,7.12,34.8,49.4,22.7,88.7,0.6
1,14,7.49,31,51.2,14,97.5,0.7
1,15,6.94,40.5,36.1,24.8,98.9,0.7
1,16,6.92,31.1,109.5,31.5,93.4,0.8
1,17,7.01,45.7,35.7,7.9,82.5,0.8
1,18,7.11,30.5,91.4,7.1,87.3,0.8
1,19,7.18,48.7,101,11.8,98.6,0.9
1,20,6.77,35.8,88.5,16.7,80.1,0.9
1,21,7.34,37.3,89.3,22.8,88.9,0.9
1,22,7.27,49.4,43.8,26.1,84.8,1
1,23,6.97,49,54.5,12.8,80.7,1
1,24,6.88,47.1,82.6,11.7,86.2,1
1,25,7.19,33.1,35.5,10.6,93.2,1.1
1,26,7.36,40.1,87.7,18.9,86.8,1.1
1,27,7.24,37.9,34.8,12.6,97.4,1.2
1,28,6.8,49.9,63.3,31.7,83.2,1.2
1,29,7.17,39.9,55.3,24.2,92.9,1.2
1,30,7.49,34.5,79.6,11.1,98.9,1.3
1,31,7.18,40.8,92.8,6.6,94.6,1.3
1,32,7.17,40.2,92.6,32.2,83.8,1.3
1,33,7.46,32.5,57,18.5,91.4,1.4
1,34,7.24,46.1,107.9,32.1,88.8,1.4
1,35,7.35,45.6,65,29.2,86.5,1.4
1,36,7.1,45.9,107.2,29.7,87,1.5
1,37,7.35,39.2,43.9,33.2,82.7,1.5
1,38,6.94,30.1,70.4,32.3,92.5,1.5
1,39,7.13,47.4,99.1,11,83.3,1.6
1,40,7.37,32.3,31.4,34.8,87.7,1.6
1,41,6.96,48.5,56.4,9.6,96.3,1.6
1,42,6.72,38.5,51.4,25,97.8,1.7
1,43,7.08,37.7,78,28.9,87.9,1.7
1,44,6.77,47.3,63,34.4,92.6,1.8
1,45,6.76,48.2,39.1,5,90.2,1.8
1,46,7.08,39.7,109,10.2,87,1.8
1,47,6.74,35.7,87.3,34.6,85.5,1.9
1,48,7.3,36.2,79.3,16.1,93,1.9
1,49,6.81,32.5,50.7,26.5,89.8,1.9
1,50,6.85,44.4,98.7,9.9,91.2,2
2,0,7.02,41.2,107.7,19.6,98.5,0.2
2,1,7.49,41.5,86.1,16,90.8,0.2
2,2,6.88,38.7,95.6,21.5,88.4,0.3
2,3,6.76,44.6,101.8,32.7,83.9,0.3
2,4,7.33,34,104.1,25.9,86,0.3
2,5,6.83,49.9,43.5,23.9,97,0.4
2,6,6.94,32.8,93.2,32,95.7,0.4
2,7,7.22,48.7,106.6,27.5,82,0.4
2,8,7.39,30.8,100.6,21.4,93.9,0.5
2,9,6.84,45.7,44.2,8.6,84.8,0.5
2,10,7.36,44.4,66.8,6.3,91.4,0.6
2,11,6.93,42,70.2,15.2,80.4,0.6
2,12,7.27,41.6,86.3,17.8,80.8,0.6
2,13,7.32,31.2,105,25.2,84.8,0.6
2,14,7.06,37,48,15.9,81.2,0.7
2,15,6.8,33.1,33.6,34.2,90.3,0.7
2,16,7.09,42.4,54.5,10.2,93.3,0.8
2,17,6.84,45.5,38.5,6.2,82.1,0.8
2,18,7.35,33.4,106.6,32.6,83.6,0.8
2,19,6.91,48.6,99.7,19.4,86.9,0.9
2,20,6.94,36.7,43.2,33.6,87,0.9
2,21,6.81,35.3,79.8,5.1,96.8,0.9
2,22,7.45,36.9,44.4,32.4,89.8,1
2,23,6.83,31.7,97.7,27.8,82.2,1
2,24,7.06,48.8,66.1,34.8,83.5,1
2,25,6.99,36.5,80.5,8.4,82,1.1
2,26,7.4,37.2,42.9,19.6,87.2,1.1
2,27,7.4,32,75.5,14.6,84.9,1.2
2,28,7.16,34.6,44.7,11.9,90.9,1.2
2,29,7.07,36.8,64.8,12,92.1,1.2
2,30,7.12,47.3,84.4,33.7,96.7,1.3
2,31,7.48,35.1,79.5,19.9,83.2,1.3
2,32,6.7,32,38.5,17.2,88.4,1.3
2,33,6.75,41.7,49.5,18.9,92.3,1.4
