Bioreactor,Day,pH,CO2,Cell_Density,Cell_Viability,Product_Titer
1,0,7.43,39.2,21.9,91.2,0.2
1,1,7.02,107.7,19.6,98.5,0.2
1,2,6.95,46.5,27.8,97.9,0.2
1,3,7.21,68,26.2,91.7,0.2
1,4,6.72,68.2,18.3,87.8,0.2
1,5,7.19,55.7,16.2,84.3,0.2
1,6,7.42,101.9,22.6,90,0.2
1,7,7.26,95.1,23.5,90.6,0.2
1,8,6.81,44.6,32.1,85.4,0.2
1,9,6.8,68,19.1,83.8,0.2
1,10,7.29,61.7,5.9,81.6,0.2
1,11,6.83,46.3,19.1,94.2,0.2
1,12,7.02,80.2,12.4,82.2,0.2
1,13,7.08,58.8,22.9,88.7,0.2
1,14,7.02,106.7,13.5,84.1,0.2
1,15,6.97,102.5,12.7,89.2,0.2
1,16,7.04,90.5,34.3,82.6,0.2
1,17,7.4,36.2,32.8,93.3,0.2
1,18,7.25,30.9,29.9,92.7,0.2
1,19,7.43,106.1,7.9,93.5,0.2
1,20,7.02,109.6,31.7,80,0.2
1,21,6.85,46,6.5,98.9,0.2
1,22,7.06,100.6,27.6,89.7,0.2
1,23,6.96,67.4,7.2,98.9,0.2
1,24,6.8,96.4,27.8,92.7,0.2
1,25,7.15,30.4,27.9,80.1,0.2
1,26,7.25,93.3,24.1,83.3,0.2
1,27,7.13,40.3,8.8,87.5,0.2
1,28,7,66.8,28.6,97,0.2
1,29,7.29,75.6,6.9,90,0.2
1,30,7.39,31.4,13.9,90.9,0.2
1,31,7.43,39.8,32.7,89.3,0.2
1,32,7.28,85.4,10.7,80.3,0.2
1,33,6.73,59.4,13.7,88.7,0.2
1,34,7.09,91.8,14,80.2,0.2
1,35,7.31,101.4,11.8,96.4,0.2
1,36,7.09,87.6,5.8,83.2,0.2
1,37,7.33,34.7,23.9,83.8,0.2
1,38,7.08,84.7,26.6,86.8,0.2
1,39,7.45,82.1,28.7,85.7,0.2
1,40,7.14,43.9,28.9,94.6,0.2
1,41,7,100.8,14.7,97.3,0.2
1,42,7.45,54.4,19.9,83.3,0.2
1,43,6.95,63.8,24.6,81.5,0.2
1,44,7.45,31.2,18.3,96.5,0.2
1,45,7.02,84.2,28.2,80.5,0.2
1,46,6.73,62.9,7.6,98.9,0.2
1,47,7.3,31,5.2,96.2,0.2
1,48,7.35,74.2,27.9,81.2,0.2
1,49,6.98,31.3,27.7,88.8,0.2
1,50,6.71,34.4,28.7,84.8,0.2
2,0,6.75,41.2,13.7,82.8,0.2
2,1,7.38,86.7,24.7,84,0.2
2,2,7.19,42.8,18.8,85.7,0.2
2,3,7.01,77.5,16.1,95.3,0.2
2,4,7.35,73.2,20.6,96.5,0.2
2,5,6.88,57.1,11.2,84.7,0.2
2,6,6.78,91.8,18.7,95,0.2
2,7,6.9,57.7,25.9,88.2,0.2
2,8,7.15,65.1,16.6,93.7,0.2
2,9,7.29,96.3,24.2,83.5,0.2
2,10,7.34,71,22,93.3,0.2
2,11,7.14,68.9,9.6,97.3,0.2
2,12,7.35,30.9,31.5,91.4,0.2
2,13,7.44,42.4,14.1,90.7,0.2
2,14,7.39,76.5,25.6,89,0.2
2,15,7.41,58.6,20.7,80.6,0.2
2,16,7.22,88.7,34.2,97.7,0.2
2,17,6.97,92.4,19.1,89.3,0.2
2,18,7.03,93.7,21.9,91.1,0.2
2,19,7.2,104,8.3,83.2,0.2
2,20,7.15,93.5,31.3,89.8,0.2
2,21,7.24,92.1,6.2,81.7,0.2
2,22,6.88,106.4,25,86.9,0.2
2,23,7.22,100.3,26,88.3,0.2
2,24,6.94,65.4,27.3,89.9,0.2
2,25,7.28,68.4,8.6,94.6,0.2
2,26,7.08,32.8,25.8,90,0.2
2,27,7.28,30.6,14.3,90.7,0.2
2,28,7.41,55.8,32.8,88.7,0.2
2,29,7.3,94.1,30.2,98.6,0.2
2,30,7.05,64.7,26.7,97.5,0.2
2,31,7.38,30.2,11,82.8,0.2
2,32,7.49,51.5,33.8,96.6,0.2
2,33,7.42,89.1,26.2,88,0.2
2,34,7.42,48.5,28.4,97.1,0.2
2,35,7.32,56,31,89.9,0.2
2,36,6.9,77.1,32.3,97.9,0.2
2,37,7.33,80.5,23.5,82.3,0.2
2,38,7.24,34.8,34.6,87.1,0.2
2,39,7.38,106.4,10.2,94.3,0.2
2,40,6.75,50.3,23,90.7,0.2
2,41,7.35,71,22.2,81,0.2
2,42,7.45,34.9,34,83.1,0.2
2,43,7.18,80,29.3,90.5,0.2
2,44,6.75,95.4,22.1,92,0.2
2,45,7.1,69.8,14.6,90.6,0.2
2,46,7.41,94.6,5.4,86.7,0.2
2,47,6.7,103.7,12.4,81.5,0.2
2,48,7.21,106.9,19.6,89.4,0.2
2,49,6.89,49.1,31.2,98.1,0.2
2,50,7.42,47.5,22.5,90.9,0.2
3,0,7.37,58.1,31.4,92.3,0.2
3,1,6.72,98.7,20,99,0.2
3,2,7.23,51,27.1,93,0.2
3,3,7.29,32.6,28.9,88.7,0.2
3,4,7.18,104.8,31.6,85,0.2
3,5,6.93,109.9,8.4,95.7,0.2
3,6,6.93,87.2,11.6,99,0.2
3,7,7.44,95.4,19.7,86.7,0.2
3,8,7.14,52.2,25.5,82.8,0.2
3,9,7.49,74.9,25.1,88.5,0.2
3,10,6.96,80,16.2,95.7,0.2
3,11,7.21,102.8,29.3,88.3,0.2
3,12,7.01,47,19.3,96.8,0.2
3,13,7.1,53.3,22.4,92.9,0.2
3,14,6.75,53.5,34.5,82.5,0.2
3,15,6.74,35.2,31.2,98.7,0.2
3,16,7.46,69.1,16.9,82.6,0.2
3,17,7.37,42.8,30.3,86.5,0.2
3,18,7.34,97,34.8,91.6,0.2
3,19,7.17,102.9,12.9,96.9,0.2
3,20,7.41,77.5,10.4,89.8,0.2
3,21,7.09,85,24.4,86.3,0.2
3,22,7.38,54.2,31.4,94.2,0.2
3,23,6.73,53.4,28.9,88.6,0.2
3,24,6.71,83.2,29.6,89.2,0.2
3,25,7.02,85.6,33.6,87.8,0.2
3,26,6.87,59.8,27.6,91.4,0.2
3,27,6.98,96.5,30.3,90,0.2
3,28,7.02,103,25.2,94.2,0.2
3,29,7.43,90.6,11.4,80.4,0.2
3,30,7.46,96.1,25.2,90,0.2
3,31,7.44,99.4,21.1,87.5,0.2
3,32,7.17,37.1,31.2,84.7,0.2
3,33,7.12,57.7,28.7,93.4,0.2
3,34,7.36,82.3,27.6,81.7,0.2
3,35,7.38,77.7,30.7,96,0.2
3,36,7.24,106.8,30.3,81.5,0.2
3,37,7.25,68.3,19.5,92.9,0.2
3,38,7.06,69.3,7.7,81.5,0.2
3,39,7.41,40.7,26.8,93.1,0.2
3,40,6.85,110,22.4,93.7,0.2
3,41,7.13,51.1,34.4,92.5,0.2
3,42,7.14,32.9,15.9,94.5,0.2
3,43,7.04,77.5,11.1,95.1,0.2
3,44,7.24,83,21.6,88.5,0.2
3,45,7.28,53,24.5,95.4,0.2
3,46,6.91,56.5,28.5,80.2,0.2
3,47,7.13,82.4,15.2,89.2,0.2
3,48,7,67.9,12.7,85.4,0.2
3,49,7.24,84.9,30.8,96.1,0.2
3,50,7.49,63.8,18.6,88.4,0.2
4,0,7.24,33.3,6.3,97.7,0.2
4,1,6.75,94,5.4,81.9,0.2
4,2,7.5,93.4,14.1,86.4,0.2
4,3,7.08,81.9,26,87.9,0.2
4,4,7.27,73.4,12.9,92,0.2
4,5,7.44,71.7,34.9,98.6,0.2
4,6,7.19,82.6,20.6,95.2,0.2
4,7,7.5,104.2,9.9,92.7,0.2
4,8,7.03,49.1,34.2,88.2,0.2
4,9,6.97,51.2,32.1,86.7,0.2
4,10,7.09,62.7,33.5,91.6,0.2
4,11,7.35,76.9,34.8,96.1,0.2
4,12,6.83,78.3,33.6,94.2,0.2
4,13,7.02,34.3,31.7,80.1,0.2
4,14,7.42,92.6,13.3,81.8,0.2
4,15,6.88,93.3,14.2,85.5,0.2
4,16,7.31,108.1,30.6,86.7,0.2
4,17,7.18,89.4,14.1,86,0.2
4,18,6.81,46.1,31.8,91.5,0.2
4,19,6.83,33,28.6,90.2,0.2
4,20,6.79,76.2,31.3,85,0.2
4,21,7.18,61.6,15.4,85.9,0.2
4,22,6.74,67.9,24.2,96.7,0.2
4,23,7.36,69.8,9.7,85.5,0.2
4,24,7.01,102.4,30.7,82.2,0.2
4,25,7.42,34.3,31.7,91.9,0.2
4,26,7.03,45.7,19.7,85.1,0.2
4,27,6.86,70.6,16.4,81.7,0.2
4,28,6.91,53.1,11.5,98.4,0.2
4,29,6.89,52.2,33,97.5,0.2
4,30,7.5,34.4,13.9,88.1,0.2
4,31,7.05,59.8,12.7,82.3,0.2
4,32,7.18,81.2,30.4,88.2,0.2
4,33,7.13,33,29.1,96.4,0.2
4,34,6.84,66.8,7.3,98.3,0.2
4,35,7.23,98.5,15.8,88.9,0.2
4,36,6.91,60.3,8.2,81,0.2
4,37,7.4,37.9,16.1,83.2,0.2
4,38,6.89,38.6,14.1,93.3,0.2
4,39,6.99,99.7,25.5,92,0.2
4,40,7.33,44,18.1,97.3,0.2
4,41,6.85,90.9,20.5,95,0.2
4,42,7.14,79.3,29.9,89.8,0.2
4,43,7.03,61.1,29.3,90.8,0.2
4,44,7.03,61.9,6.9,87.7,0.2
4,45,7.16,54.7,24,80.7,0.2
4,46,7.46,83.6,15.8,85.4,0.2
4,47,6.79,87.1,15.9,86.5,0.2
4,48,7.49,86.1,16,90.8,0.2
4,49,7.17,109.2,11.8,87.2,0.2
4,50,6.77,48.7,15.6,92,0.2
5,0,6.91,93.6,21.9,96.1,0.2
5,1,6.79,98.9,16.7,86.5,0.2
5,2,6.8,51.7,24.5,82.7,0.2
5,3,6.88,67.6,29.1,84.7,0.2
5,4,6.77,97.4,9,92.3,0.2
5,5,7.09,46.2,17,88.5,0.2
5,6,7.08,56.8,23.8,85.3,0.2
5,7,7.14,70.5,17.9,93.4,0.2
5,8,6.82,43.4,31,91,0.2
5,9,7.46,88,34.1,93.3,0.2
5,10,7.33,55.6,30.4,98.2,0.2
5,11,7.18,87.9,13.5,82.8,0.2
5,12,6.72,107.1,13,86.5,0.2
5,13,7.13,44.5,14.7,89.8,0.2
5,14,6.84,86.6,33.2,84.7,0.2
5,15,7.09,42.8,34.2,94.1,0.2
5,16,7.37,94.9,26,96,0.2
5,17,7.11,67.2,16.3,94.5,0.2
5,18,7.11,54,24.2,91.1,0.2
5,19,7.29,53.6,28.6,91.7,0.2
5,20,7.05,99,24.4,85.7,0.2
5,21,6.7,98.9,11,89.4,0.2
5,22,7.15,84.6,28.1,88,0.2
5,23,7.03,108.4,29.5,89.5,0.2
5,24,7.38,76.5,21.3,83.1,0.2
5,25,7.48,76.5,32.4,97.3,0.2
5,26,7.41,60,20.4,91.1,0.2
5,27,7.38,71.3,33.7,83.1,0.2
5,28,7.16,64.2,21.5,85.6,0.2
5,29,7.06,49.9,34.9,83.1,0.2
5,30,7.4,92.8,32,95.2,0.2
5,31,7.38,33.9,11.1,94.2,0.2
5,32,6.91,43.6,12.1,87.9,0.2
5,33,7.11,74.1,16.5,94.6,0.2
5,34,7.01,92.4,27.6,89.7,0.2
5,35,6.97,90,34.5,91.7,0.2
5,36,7.33,77.4,14.4,88.7,0.2
5,37,7.29,89.6,16.8,82.5,0.2
5,38,7.49,63.1,18.7,96.4,0.2
5,39,7.11,87.5,25.5,84.7,0.2
5,40,6.79,69.6,33.7,89.3,0.2
5,41,6.89,49.1,23.6,81.2,0.2
5,42,7.22,81.4,9,87.9,0.2
5,43,7.19,33.3,21.2,96.3,0.2
5,44,6.72,49.2,19.5,80.4,0.2
5,45,6.71,55.5,19.8,98.1,0.2
5,46,6.81,68.2,5.7,88.7,0.2
5,47,6.8,70.5,25.7,82.6,0.2
5,48,7.4,91.5,28.7,98.5,0.2
5,49,6.94,100.9,13.6,84.6,0.2
5,50,7.25,64.3,8.2,88.4,0.2
6,0,7.44,75.7,21.3,82.3,0.2
6,1,7.4,82,26.7,94.8,0.2
