Bioreactor,Day,pH,CO2,O2_MFC,Cell_Density,Cell_Viability,Product_Titer
1,0,6.94,65.4,1,27.3,89.9,0.2
1,1,6.75,50.3,1,23,90.7,0.2
1,2,7.18,80,1,29.3,90.5,0.2
1,3,7.42,34.3,1,31.7,91.9,0.2
1,4,6.88,67.6,1,29.1,84.7,0.2
1,5,7.37,101,1,14.7,97.2,0.2
1,6,6.77,31.3,1,13,92.2,0.3
1,7,7.39,93.8,1,13.6,90.4,0.3
1,8,6.96,53.4,1,5.8,87.4,0.3
1,9,6.88,107.7,1,26,92.6,0.3
1,10,7.26,33.9,1,21.1,85.2,0.3
1,11,6.8,74.5,1,28.4,95.6,0.3
1,12,7.15,40.6,1,9.5,88.7,0.4
1,13,7.27,78.1,1,14.5,87.3,0.4
1,14,7.31,57.7,1,27.5,85.2,0.4
1,15,7.41,88.1,1,16.6,85.9,0.4
1,16,6.94,62.9,1,23,85.4,0.4
1,17,7.35,58.3,1,22,95.2,0.4
1,18,7.37,101.3,1,33.4,90.3,0.4
1,19,7.3,54,1,18.7,83.3,0.5
1,20,7.05,100.6,1,12.2,90.3,0.5
1,21,7.5,103.4,1,20.2,96.1,0.5
1,22,7.26,59.2,1,26.3,81,0.5
1,23,7.43,41.2,1,9.9,84,0.5
1,24,7.34,33.1,1,20.2,96.3,0.5
1,25,7.2,76.1,1,14,92.6,0.5
1,26,6.81,88.9,1,34.1,89.4,0.5
1,27,7.06,98.8,1,15.7,84.8,0.6
1,28,6.82,103.8,1,20.8,80.2,0.6
1,29,6.94,108.6,1,34.8,90.8,0.6
1,30,7.16,94.8,1,30.5,92.2,0.6
1,31,6.85,105,1,26.3,80.4,0.6
1,32,7.36,38,1,13.1,91.7,0.6
1,33,7.39,57.3,1,6.1,80.6,0.6
1,34,7.44,73.3,1,20.2,92,0.6
1,35,7.1,38.1,1,19.8,97.8,0.6
1,36,6.85,75,1,33.4,96.5,0.6
1,37,7.41,106.4,1,12.6,81.5,0.6
1,38,7.41,57.9,1,27.5,86.7,0.7
1,39,7.43,35.9,1,33.7,81.8,0.7
1,40,7.31,82.9,1,25.3,82.4,0.7
1,41,7.06,51.3,1,6.3,89.4,0.8
1,42,7.33,87.4,1,32.5,96.1,0.8
1,43,7.16,109.6,1,6.9,88.5,0.8
1,44,7.06,40.4,1,14.8,98.9,0.8
1,45,7.3,96.5,1,11.1,96,0.8
1,46,7.05,71.2,1,26.1,80.5,0.8
1,47,7.32,31.7,1,13.8,87.4,0.8
1,48,6.86,58.5,1,25.6,91.7,0.8
1,49,7.13,107.7,1,18.7,86.2,0.8
1,50,6.93,78.6,1,23,85.7,0.9
2,0,7.5,58.1,1,10.3,91.1,0.9
2,1,6.94,43.6,1,15.8,80,0.9
2,2,7.18,76.5,1,9.9,83.5,0.9
2,3,6.78,33.2,1,8.7,88,0.9
2,4,7.28,63.5,1,22.3,96.6,0.9
2,5,7.14,41.3,1,14.3,90.3,0.9
2,6,7.08,45.2,1,29.4,90.1,0.9
2,7,7.08,93.2,1,14.4,84.4,0.9
2,8,7.28,37.4,1,22.2,88.1,0.9
2,9,7,63.3,1,20.5,98.6,1
2,10,7.35,80.7,1,32.3,97.4,1
2,11,7.28,51,1,28.5,82.9,1
2,12,7,51.8,1,24,87.6,1
2,13,7.13,103.9,1,18.9,95.6,1
2,14,7.41,64,1,30.8,92.2,1
2,15,7.33,45.9,1,7.5,85.4,1
2,16,7.05,97.8,1,8.8,93.9,1
2,17,7.03,101.1,1,25.5,95.3,1.1
2,18,7.08,52,1,10.3,90.4,1.1
2,19,6.86,99.5,1,31.3,87.3,1.1
2,20,6.93,91.8,1,8.5,96,1.1
2,21,7.15,101,1,27.6,85.4,1.1
2,22,7.42,58,1,33.5,94.3,1.1
2,23,7.13,105.5,1,13.6,96.1,1.2
2,24,7.02,79,1,8.3,96.1,1.2
2,25,6.75,109.7,1,17,95.4,1.2
2,26,7.46,37.7,1,16.4,84.4,1.2
2,27,7.05,61.8,1,15.4,83.9,1.2
2,28,7.03,52.7,1,12.2,93,1.2
2,29,7.06,74.5,1,32.7,89.9,1.2
2,30,7.19,75.1,1,8.7,81.4,1.2
2,31,7.3,59,1,33.6,93.7,1.3
2,32,6.82,45.3,1,22.5,97.6,1.3
2,33,7.41,75.9,1,15.7,83,1.3
2,34,7.19,89,1,11.6,85.9,1.3
2,35,6.96,92.9,1,16.7,95.8,1.3
2,36,6.76,104.4,1,16.3,86.2,1.3
2,37,7.29,95.6,1,21.1,96.8,1.4
2,38,7.1,66.8,1,23.7,93.9,1.4
2,39,7.39,69.7,1,31,98.8,1.4
2,40,6.7,87.3,1,26.7,96.3,1.5
2,41,7.02,90.3,1,34.9,95.2,1.5
2,42,7.18,45.1,1,24.1,90.1,1.5
2,43,7.18,76,1,15.7,85.3,1.5
2,44,6.92,40.4,1,5.4,86.6,1.5
2,45,7.25,105.9,1,23.3,86.7,1.5
2,46,6.9,85.8,1,25.2,89.7,1.5
2,47,6.89,78.7,1,7.1,92.2,1.5
2,48,6.96,97.2,1,32.4,96.2,1.5
2,49,6.72,109.4,1,12.4,91.8,1.5
2,50,7.47,103,1,28.6,80.2,1.5
